GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
22.56614225,113.9808368,22.5632097088,113.9857667002,22.569466821,113.9922478728,广东省深圳市南山区龙珠七路,-,-
22.68620526,113.9405252,22.683205987,113.945401456,22.6888852334,113.9519849644,广东省深圳市宝安区Y180(北环路),-,-
22.57651183,113.957198,22.5735299684,113.9620903492,22.5794549693,113.9686407734,广东省深圳市南山区,-,-
22.56484081,114.2445711,22.56201441,114.2494415,22.5683161313,114.255839632,广东省深圳市盐田区海景二路,-,-
22.55888775,113.9507227,22.5558856397,113.955598956,22.5616497935,113.9621595218,广东省深圳市南山区松坪街,-,-
22.55899906,114.2413174,22.55617266,114.2461878,22.5624743812,114.252585932,广东省深圳市盐田区海景路,-,-
22.54900371,113.9722597,22.5460410172,113.9771681425,22.5521409327,113.9836579778,广东省深圳市南山区香山中街1-48,-,-
22.56277351,113.9565735,22.5597912158,113.9614658492,22.5657108296,113.967996599,广东省深圳市南山区G4(京港澳高速),-,-
22.50001192,113.8956606,22.4969638997,113.9005261272,22.5030547426,113.9070145095,广东省深圳市南山区,-,-
22.5437861,113.9239778,22.5407439165,113.9288325983,22.5465029672,113.9353718462,广东省深圳市南山区深南大道10128号,-,-
22.52486369,113.9308596,22.5218260215,113.9357143983,22.5275008159,113.9422771191,广东省深圳市南山区滨海大道辅路,-,-
22.519087,113.9358436,22.5160641979,113.9407091272,22.5217375553,113.9472697538,广东省深圳市南山区后海滨路,-,-
22.54797243,113.977909,22.5450394635,113.9828389002,22.5512915189,113.9892993698,广东省深圳市南山区香山中街,-,-
22.50616871,113.9314284,22.5031308217,113.9362831983,22.5088071949,113.9428533018,广东省深圳市南山区,-,-
22.49962566,113.9365145,22.4966024206,113.9413746627,22.5022792883,113.9479578354,广东省深圳市南山区工业七路,-,-
22.54032142,113.9236456,22.5372792365,113.9285003983,22.5430382872,113.9350396462,广东省深圳市南山区,-,-
22.52455419,113.9247319,22.521511566,113.9295866983,22.5272706073,113.9361276538,广东省深圳市南山区南海大道2991号,-,-
22.4981901,113.8984817,22.4951420797,113.9033472272,22.5012329226,113.9098356095,广东省深圳市南山区,-,-
22.54603946,113.9749684,22.5430767672,113.9798768425,22.5491766827,113.9863666778,广东省深圳市南山区,-,-
22.49772892,113.9373377,22.4947056806,113.9421978627,22.5003825482,113.9487810354,广东省深圳市南山区支六路,-,-
22.49416247,113.927139,22.49116317,113.9320314,22.4968045139,113.9385821329,广东省深圳市南山区湾厦新村四巷20,-,-
22.51592012,113.9356769,22.5128973179,113.9405424272,22.5185706753,113.9471030537,广东省深圳市南山区创业路,-,-
22.51578568,113.9420557,22.5127628779,113.9469212272,22.5184362353,113.9534818538,广东省深圳市南山区,-,-
22.54220963,114.0196493,22.5393904101,114.0246757597,22.5454923367,114.0311625528,广东省深圳市福田区香轩路23号,-,-
22.54458961,113.9986601,22.5417109332,114.0036382799,22.5480555784,114.010075712,广东省深圳市福田区,-,-
22.49308313,113.9358391,22.49010373,113.9407453,22.4957385848,113.9472908686,广东省深圳市南山区中心路,-,-
22.52488949,113.9191429,22.521846866,113.9239976983,22.5276059073,113.9305386538,广东省深圳市南山区南山大道1122号,-,-
22.54808582,113.9453119,22.5450785377,113.950188156,22.5508452037,113.9567386089,广东省深圳市南山区科发路2-6-22,-,-
22.56470734,113.9820093,22.5617745861,113.9869392002,22.5680290916,113.9934097565,广东省深圳市南山区龙苑路16号,-,-
22.58193448,114.1563953,22.57916728,114.1613813,22.5849556433,114.1679724773,广东省深圳市罗湖区,-,-
22.54293611,114.1314072,22.54020631,114.1364552,22.5464779873,114.1429249473,广东省深圳市罗湖区锦联路28号,-,-
22.52394954,113.9434416,22.5209267379,113.9483071272,22.5266000953,113.9548677537,广东省深圳市南山区滨海大道辅路,-,-
22.55101305,113.9567446,22.5480305396,113.9616369492,22.5539477098,113.9681578658,广东省深圳市南山区珠光南路,-,-
22.5829933,114.1471227,22.5802403,114.1521307,22.5861853938,114.1586959412,广东省深圳市罗湖区,-,-
22.54927013,114.1317447,22.54654163,114.1367937,22.5528140178,114.1432690711,广东省深圳市罗湖区深南东路1066号,-,-
22.52596134,113.9353993,22.5229387566,113.9402648272,22.528611622,113.9468221575,广东省深圳市南山区海天二路,-,-
22.7563793,114.0421356,22.7536585827,114.0472210683,22.7594284225,114.0537745046,广东省深圳市宝安区,-,-
22.64144071,114.4227421,22.6387770219,114.4276773646,22.6444389542,114.4342296316,广东省深圳市龙岗区,-,-
22.71166007,114.0728836,22.7089878439,114.0780119836,22.7147601628,114.0845916254,广东省深圳市宝安区观平路189,-,-
22.60649323,114.1241536,22.6038190562,114.129260526,22.6101486961,114.1357068826,广东省深圳市龙岗区木棉路,-,-
22.66229971,114.0729969,22.6596166082,114.0781199192,22.665380071,114.0846636859,广东省深圳市龙岗区宝吉路,-,-
22.63539828,114.2263772,22.6325613019,114.2312319983,22.6388867661,114.2376507174,广东省深圳市龙岗区油田路15号,-,-
22.73802844,114.264097,22.7352083738,114.2689249762,22.7413010203,114.2754178208,广东省深圳市龙岗区龙岗中心城福宁路113号,-,-
22.62558348,114.1549664,22.6228750345,114.1600143174,22.6287783478,114.1665199448,广东省深圳市龙岗区沙平路,-,-
22.65265496,114.0272292,22.6498825486,114.0322878462,22.655802412,114.0388063097,广东省深圳市宝安区龙环一路188,-,-
22.78892197,113.8966327,22.7859298358,113.9015143204,22.7920164577,113.9079894331,广东省深圳市宝安区,-,-
22.70103564,114.2442921,22.6982048514,114.2491361695,22.7045395063,114.2555871904,广东省深圳市龙岗区,-,-
22.63154051,114.1214928,22.6288667251,114.126599726,22.635195376,114.1330276816,广东省深圳市龙岗区,-,-
22.6417148,114.195533,22.638917431,114.2004468069,22.6448185593,114.2069481557,广东省深圳市龙岗区,-,-
22.68940336,114.3454188,22.686691149,114.3503272425,22.6930359159,114.3567863868,广东省深圳市龙岗区东胜街4号,-,-
22.63010042,114.0638327,22.6273919745,114.0689449904,22.633072902,114.0755177824,广东省深圳市龙岗区布龙公路589号,-,-
22.66391673,114.0717177,22.6612336282,114.0768407192,22.666997091,114.0833844859,广东省深圳市龙岗区坂李大道,-,-
22.750664,114.378843,22.7480172911,114.3837889934,22.7541096445,114.3902768636,广东省深圳市龙岗区明冠路2号,-,-
22.72272561,114.0738016,22.7200585274,114.0789299836,22.725828177,114.0855089472,广东省深圳市宝安区,-,-
22.64138032,114.2299818,22.6385433419,114.2348365983,22.6448688061,114.2412553174,广东省深圳市龙岗区,-,-
22.77640754,114.3095878,22.7736525987,114.3144479627,22.7794121414,114.320991538,广东省深圳市龙岗区湖田路74-20,-,-
22.58706534,113.9057614,22.5840242594,113.9106215627,22.5899423662,113.917166564,广东省深圳市宝安区留仙一路48,-,-
22.69339571,114.1474874,22.6907032963,114.1525406818,22.6966061585,114.1590596938,广东省东莞市东莞市祥新西路,-,-
